,number,company,2022,2021,2020
379,068270,셀트리온,True,True,True
380,336370,솔루스첨단소재,True,True,False
381,33637K,솔루스첨단소재1우,True,True,False
382,33637L,솔루스첨단소재2우B,True,True,False
383,004430,송원산업,True,True,True
384,126720,수산인더스트리,True,True,True
385,017550,수산중공업,True,True,True
386,053210,스카이라이프,True,True,True
387,026890,스틱인베스트먼트,True,True,True
388,134790,시디즈,True,True,True
389,016590,신대양제지,True,True,True
390,029530,신도리코,True,True,True
391,004970,신라교역,True,True,True
392,004170,신세계,True,True,True
393,035510,신세계 I&C,True,True,True
394,034300,신세계건설,True,True,True
395,031430,신세계인터내셔날,True,True,True
396,031440,신세계푸드,True,True,True
397,006880,신송홀딩스,True,True,True
398,005800,신영와코루,True,True,True
399,001720,신영증권,True,True,True
400,001725,신영증권우,True,True,True
401,009270,신원,True,True,True
402,002700,신일전자,True,True,True
403,002870,신풍제지,True,True,True
404,404990,신한서부티엔디리츠,True,False,False
405,293940,신한알파리츠,True,True,True
406,055550,신한지주,True,True,True
407,004080,신흥,True,True,True
408,003410,쌍용C&E,True,True,True
409,112610,씨에스윈드,True,True,True
410,002790,아모레G,True,True,True
411,00279K,아모레G3우(전환),True,True,True
412,002795,아모레G우,True,True,True
413,090430,아모레퍼시픽,True,True,True
414,090435,아모레퍼시픽우,True,True,True
415,002030,아세아,True,True,True
416,183190,아세아시멘트,True,True,True
417,002310,아세아제지,True,True,True
418,267850,아시아나IDT,True,True,True
419,122900,아이마켓코리아,True,True,True
420,010780,아이에스동서,True,True,True
421,018250,애경산업,True,True,True
422,161000,애경케미칼,True,True,True
423,137310,에스디바이오센서,True,True,True
424,005850,에스엘,True,True,True
425,012750,에스원,True,True,True
426,140910,에이리츠,True,True,True
427,244920,에이플러스에셋,True,True,True
428,036570,엔씨소프트,True,True,True
429,097520,엠씨넥스,True,True,True
430,014440,영보화학,True,True,True
431,111770,영원무역,True,True,True
432,009970,영원무역홀딩스,True,True,True
433,000670,영풍,True,True,True
434,006740,영풍제지,True,True,True
435,015360,예스코홀딩스,True,True,True
436,007310,오뚜기,True,True,True
437,271560,오리온,True,True,True
438,001800,오리온홀딩스,True,True,True
439,316140,우리금융지주,True,True,False
440,010050,우리종금,True,True,True
441,006980,우성,True,True,True
442,105840,우진,True,True,True
443,010400,우진아이엔에스,True,True,True
444,049800,우진플라임,True,True,True
445,095720,웅진씽크빅,True,True,True
446,005820,원림,True,True,True
447,033270,유나이티드제약,True,True,True
448,014830,유니드,True,True,True
449,000910,유니온,True,True,True
450,047400,유니온머티리얼,True,True,True
451,011330,유니켐,True,True,True
452,077500,유니퀘스트,True,True,True
453,002920,유성기업,True,True,True
454,000700,유수홀딩스,True,True,True
455,003470,유안타증권,True,True,True
456,003475,유안타증권우,True,True,True
