날짜,PBR
2018-11-19,1.2236532
2018-11-20,1.2129381
2018-11-21,1.3460844
2018-11-22,1.3648846
2018-11-23,1.3290876
2018-11-26,1.3415011
2018-11-27,1.3723458
2018-11-28,1.3845464
2018-11-29,1.3674208
2018-11-30,1.3509195
2018-12-03,1.3656825
2018-12-04,1.353631
2018-12-05,1.4112705
2018-12-06,1.3385453
2018-12-07,1.3453783
2018-12-10,1.2754264
2018-12-11,1.2427285
2018-12-12,1.2691759
2018-12-13,1.2808856
2018-12-14,1.4509321
2018-12-17,1.3819447
2018-12-18,1.3113673
2018-12-19,1.2886518
2018-12-20,1.3011237
2018-12-21,1.3647897
2018-12-24,1.3228794
2018-12-26,1.319556
2018-12-27,1.3445284
2018-12-28,1.3888749
2019-01-02,1.1940118
2019-01-03,1.1632707
2019-01-04,1.1950896
2019-01-07,1.176996
2019-01-08,1.1555676
2019-01-09,1.1773217
2019-01-10,1.2184367
2019-01-11,1.2238426
2019-01-14,1.1952461
2019-01-15,1.2205977
2019-01-16,1.1962407
2019-01-17,1.1757917
2019-01-18,1.1907005
2019-01-21,1.1644654
2019-01-22,1.1743616
2019-01-23,1.1600485
2019-01-24,1.1988873
2019-01-25,1.192869
2019-01-28,1.2211763
2019-01-29,1.2054381
2019-01-30,1.1855198
2019-01-31,1.2065384
2019-02-01,1.229997
2019-02-07,1.2212342
2019-02-08,1.2503065
2019-02-11,1.2832757
2019-02-12,1.2302893
2019-02-13,1.2270122
2019-02-14,1.1936249
2019-02-15,1.1851639
2019-02-18,1.2032464
2019-02-19,1.2147754
2019-02-20,1.1889884
2019-02-21,1.195201
2019-02-22,1.1995492
2019-02-25,1.1938289
2019-02-26,1.1933955
2019-02-27,1.2314739
2019-02-28,1.1833068
2019-03-04,1.2552607
2019-03-05,1.2877637
2019-03-06,1.2657223
2019-03-07,1.2250935
2019-03-08,1.2287302
2019-03-11,1.2309463
2019-03-12,1.2908256
2019-03-13,1.2882569
2019-03-14,1.3139201
2019-03-15,1.2720486
2019-03-18,1.2951015
2019-03-19,1.2449524
2019-03-20,1.2274133
2019-03-21,1.1833781
2019-03-22,1.1744885
2019-03-25,1.1586523
2019-03-26,1.1634355
2019-03-27,1.1507663
2019-03-28,1.1535269
2019-03-29,1.185311
2019-04-01,1.1761467
2019-04-02,1.1855334
2019-04-03,1.2237089
2019-04-04,1.2251891
2019-04-05,1.2131152
2019-04-08,1.2054355
2019-04-09,1.2260292
2019-04-10,1.2394066
2019-04-11,1.2675321
2019-04-12,1.2438736
2019-04-15,1.2242775
2019-04-16,1.2421274
2019-04-17,1.2305112
2019-04-18,1.2369988
2019-04-19,1.2543671
2019-04-22,1.2559505
2019-04-23,1.2592356
2019-04-24,1.2596273
2019-04-25,1.2439393
2019-04-26,1.2320151
2019-04-29,1.2288611
2019-04-30,1.2621576
2019-05-02,0.8239547
2019-05-03,0.83157563
2019-05-07,0.8145125
2019-05-08,0.7994108
2019-05-09,0.7788037
2019-05-10,0.77971864
2019-05-13,0.75341105
2019-05-14,0.74933445
2019-05-15,0.7606349
2019-05-16,0.73311126
2019-05-17,0.734059
2019-05-20,0.7014468
2019-05-21,0.71304524
2019-05-22,0.7429321
2019-05-23,0.7281157
2019-05-24,0.7288281
2019-05-27,0.73264194
2019-05-28,0.7512922
2019-05-29,0.7241533
2019-05-30,0.7228832
2019-05-31,0.73825455
2019-06-03,0.71628773
2019-06-04,0.7192745
2019-06-05,0.72905266
2019-06-07,0.7372937
2019-06-10,0.7253164
2019-06-11,0.7360939
2019-06-12,0.7511914
2019-06-13,0.7552631
2019-06-14,0.7642065
2019-06-17,0.7353897
2019-06-18,0.73415697
2019-06-19,0.75808275
2019-06-20,0.7866235
2019-06-21,0.78202116
2019-06-24,0.78230476
2019-06-25,0.75966287
2019-06-26,0.7648418
2019-06-27,0.70694566
2019-06-28,0.689988
2019-07-01,0.726338
2019-07-02,0.736272
2019-07-03,0.75502026
2019-07-04,0.73911023
2019-07-05,0.7647283
2019-07-08,0.74860775
2019-07-09,0.71827257
2019-07-10,0.73253155
2019-07-11,0.7321439
2019-07-12,0.72734785
2019-07-15,0.72178125
2019-07-16,0.73368156
2019-07-17,0.7341155
2019-07-18,0.7113358
2019-07-19,0.7332128
2019-07-22,0.7337121
2019-07-23,0.72910476
2019-07-24,0.7147187
2019-07-25,0.71018875
2019-07-26,0.6855228
2019-07-29,0.6353563
2019-07-30,0.63303113
2019-07-31,0.6491891
2019-08-01,0.6528243
2019-08-02,0.6437888
2019-08-05,0.5507606
2019-08-06,0.5110637
2019-08-07,0.53254044
2019-08-08,0.5840144
2019-08-09,0.60251725
2019-08-12,0.6039138
2019-08-13,0.5927361
2019-08-14,0.6157671
2019-08-16,0.614982
2019-08-19,0.63856006
2019-08-20,0.6638949
2019-08-21,0.7017127
2019-08-22,0.7156279
2019-08-23,0.6967994
2019-08-26,0.6541816
2019-08-27,0.65593314
2019-08-28,0.6755018
2019-08-29,0.665226
2019-08-30,0.6761277
2019-09-02,0.6811758
2019-09-03,0.6938714
2019-09-04,0.6900842
2019-09-05,0.6955954
2019-09-06,0.6988028
2019-09-09,0.68971705
2019-09-10,0.66876173
2019-09-11,0.70110595
2019-09-16,0.7181624
2019-09-17,0.71889377
2019-09-18,0.72911465
2019-09-19,0.7383083
2019-09-20,0.7215382
2019-09-23,0.7166728
2019-09-24,0.71082914
2019-09-25,0.67882967
2019-09-26,0.6699203
2019-09-27,0.6627586
2019-09-30,0.6234256
2019-10-01,0.64278245
2019-10-02,0.63908863
2019-10-04,0.65886974
2019-10-07,0.6834403
2019-10-08,0.67813754
2019-10-10,0.70150805
2019-10-11,0.70006216
2019-10-14,0.7110846
2019-10-15,0.7161403
2019-10-16,0.7260252
2019-10-17,0.73920286
2019-10-18,0.73657227
2019-10-21,0.7527244
2019-10-22,0.76651645
2019-10-23,0.79881227
2019-10-24,0.7883092
2019-10-25,0.7628797
2019-10-28,0.76811516
2019-10-29,0.8182912
2019-10-30,0.83287704
2019-10-31,0.8608886
2019-11-01,0.888883
2019-11-04,0.9081336
2019-11-05,0.9263196
2019-11-06,0.909021
2019-11-07,0.9223387
2019-11-08,0.9295757
2019-11-11,0.93497336
2019-11-12,0.927539
2019-11-13,0.92614424
2019-11-14,0.94016004
2019-11-15,0.9431162
2019-11-18,0.94156253
2019-11-19,0.9317019
2019-11-20,0.9143212
2019-11-21,0.895301
2019-11-22,0.88203084
2019-11-25,0.90427387
2019-11-26,0.9272237
2019-11-27,0.9358984
2019-11-28,0.9195869
2019-11-29,0.9042108
2019-12-02,0.90437376
2019-12-03,0.8939506
2019-12-04,0.88889074
2019-12-05,0.8522396
2019-12-06,0.8756062
2019-12-09,0.8808739
2019-12-10,0.8898648
2019-12-11,0.88000727
2019-12-12,0.89902115
2019-12-13,0.9170191
2019-12-16,0.910005
2019-12-17,0.9772315
2019-12-18,0.9628068
2019-12-19,0.99507964
2019-12-20,0.97951317
2019-12-23,0.9562131
2019-12-24,0.9105691
2019-12-26,0.9436039
2019-12-27,1.0205541
2019-12-30,1.0564678
2020-01-02,0.81972206
2020-01-03,0.81102526
2020-01-06,0.76634896
2020-01-07,0.7758945
2020-01-08,0.7187139
2020-01-09,0.7601365
2020-01-10,0.78047705
2020-01-13,0.78460526
2020-01-14,0.7711513
2020-01-15,0.77815247
2020-01-16,0.76626205
2020-01-17,0.76026535
2020-01-20,0.73162854
2020-01-21,0.70312154
2020-01-22,0.70847225
2020-01-23,0.693257
2020-01-28,0.6861403
2020-01-29,0.7023585
2020-01-30,0.6596639
2020-01-31,0.6053513
2020-02-03,0.6115464
2020-02-04,0.64179945
2020-02-05,0.63989687
2020-02-06,0.658411
2020-02-07,0.66138685
2020-02-10,0.67640305
2020-02-11,0.65705514
2020-02-12,0.6429889
2020-02-13,0.6262903
2020-02-14,0.61806977
2020-02-17,0.6038948
2020-02-18,0.5891657
2020-02-19,0.5855217
2020-02-20,0.60179317
2020-02-21,0.5753654
2020-02-24,0.5275291
2020-02-25,0.56142867
2020-02-26,0.56837285
2020-02-27,0.5692735
2020-02-28,0.56151044
2020-03-02,0.572685
2020-03-03,0.5914985
2020-03-04,0.6302539
2020-03-05,0.6736692
2020-03-06,0.66638875
2020-03-09,0.6408644
2020-03-10,0.6424856
2020-03-11,0.5827856
2020-03-12,0.5550684
2020-03-13,0.48052418
2020-03-16,0.48709214
2020-03-17,0.51461756
2020-03-18,0.51618814
2020-03-19,0.45001757
2020-03-20,0.47872663
2020-03-23,0.47731793
2020-03-24,0.46737885
2020-03-25,0.49789333
2020-03-26,0.5908021
2020-03-27,0.6132649
2020-03-30,0.68898296
2020-03-31,0.7418952
2020-04-01,0.7245101
2020-04-02,0.69252694
2020-04-03,0.7226472
2020-04-06,0.75428987
2020-04-07,0.7707988
2020-04-08,0.7833079
2020-04-09,0.8041588
2020-04-10,0.8037137
2020-04-13,0.79872525
2020-04-14,0.7932706
2020-04-16,0.7952393
2020-04-17,0.80822253
2020-04-20,0.86258876
2020-04-21,0.857478
2020-04-22,0.83156705
2020-04-23,0.85280097
2020-04-24,0.82127213
2020-04-27,0.8267076
2020-04-28,0.8004652
2020-04-29,0.7899153
2020-05-04,0.968676
2020-05-06,0.97410727
2020-05-07,0.9710653
2020-05-08,0.98599553
2020-05-11,0.9873234
2020-05-12,1.0007274
2020-05-13,1.0071394
2020-05-14,0.99160457
2020-05-15,0.96896446
2020-05-18,0.95061946
2020-05-19,0.9529879
2020-05-20,0.9616456
2020-05-21,0.96428514
2020-05-22,0.9733856
2020-05-25,0.9627756
2020-05-26,0.97043324
2020-05-27,0.9802505
2020-05-28,0.97310793
2020-05-29,0.9671228
